 by Role ,por função
 is not set,não está definido
""" does not exists",""" Não existe"
2 days ago,Há 2 dias
"<a href=""#Sales Browser/Customer Group"">Add / Edit</a>","<a href=""#Sales Browser/Customer grupo""> Adicionar / Editar </ a>"
"<a href=""#Sales Browser/Territory"">Add / Edit</a>","<a href=""#Sales Browser/Territory""> Adicionar / Editar </ a>"
About,Sobre
Actions,ações
Add,Adicionar
Add Attachments,Adicionar Anexos
Add Bookmark,Adicionar marcadores
Add Column,Adicionar Coluna
Add Message,Adicionar Mensagem
Add Reply,Adicione Resposta
Add Serial No,Adicionar Serial No
Add This To User's Restrictions,Adicione isto a Restrições do Usuário
Add attachment,Adicionar anexo
Add new row,Adicionar nova linha
Add to To Do,Adicionar à Lista de Tarefas
Add to To Do List of,Adicionar à Lista de Tarefas de
"Allowing DocType, DocType. Be careful!","Permitindo DocType , DocType . Tenha cuidado !"
Alternative download link,Link para download Alternativa
Amend,Corrigir
Are you sure you want to delete the attachment?,Tem certeza de que deseja excluir o anexo?
Ascending,Ascendente
Assign To,Atribuir a
Assigned To,Atribuído a
Assignments,Atribuições
Attach Document Print,Anexar Cópia do Documento
Attach as web link,Anexar como link da web
Attachments,Anexos
Billed,Faturado
Bookmarks,Marcadores
Built on,construído sobre
Calendar,Calendário
Cancel,Cancelar
Cancelled,Cancelado
Cannot edit standard fields,Não é possível editar campos padrão
Cannot open instance when its {0} is open,"Não é possível abrir instância , quando o seu {0} é aberto"
Cannot open {0} when its instance is open,Não é possível abrir {0} quando sua instância está aberta
Cannot print cancelled documents,Não é possível imprimir documentos cancelados
Clear Cache,Limpar Cache
Click on row to view / edit.,Clique na fila para ver / editar .
Click to Expand / Collapse,Clique para Expandir / Recolher
Close,Fechar
Close: {0},Fechar: {0}
Collapse,colapso
Comment,Comentário
Comments,Comentários
Communication Medium,Meio de comunicação
Company,Empresa
Complete By,Completar em
Copy,Copie
Creation / Modified By,Criação / Modificado por
Currency is required for Price List {0},Moeda é necessário para Preço de {0}
Current status,Estado Atual
Custom Reports,Relatórios personalizados
Customize,Personalize
Date must be in format: {0},A data deve estar no formato : {0}
Dear,Caro
Default Customer Group,Grupo de Clientes padrão
Default Territory,Território padrão
Delete,Excluir
Delete Row,Apagar Linha
Delivered,Entregue
Descending,Descendente
Document Status transition from ,Documento transição Estado de
Document Status transition from {0} to {1} is not allowed,Transição Status do Documento de {0} para {1} não é permitido
Document is only editable by users of role,Documento só é editável por usuários da função
Documentation,Documentação
Download,baixar
Drafts,Rascunhos
Drag to sort columns,Arraste para classificar colunas
Edit,Editar
Editable,Editável
Email,E-mail
"Email addresses, separted by commas","Endereços de email, separados por vírgulas"
Email sent to {0},E-mail enviado para {0}
Email...,E-mail ...
Enable Shopping Cart,Ativar Carrinho de Compras
Enter Value,Digite o Valor
Equals,Equals
Expand,expandir
Export,Exportar
Export not allowed. You need {0} role to export.,Exportação não é permitido . Você precisa de {0} papel para exportar .
Field {0} is not selectable.,O campo {0} não é selecionável.
File,Arquivo
Filter,Filtre
"For comparative filters, start with","Para filtros comparativos, comece com"
For ranges,Para faixas
Form,Forma
Forums,Fóruns
From Date must be before To Date,A data inicial deve ser anterior a data final
Gantt Chart,Gráfico de Gantt
Get,Obter
Get From ,Obter do
Greater or equals,Maior ou igual
Greater than,maior do que
"Grid ""","Grid """
"Group Added, refreshing...","Grupo Adicionado, refrescante ..."
Help,Ajudar
History,História
"Ignoring Item {0}, because a group exists with the same name!","Ignorando item {0}, porque um grupo existe com o mesmo nome!"
Import,Importar
In,em
In response to,Em resposta ao(s)
Insert Below,Inserir Abaixo
Insert Row,Inserir Linha
Invalid Billing Address,Inválido Endereço de Cobrança
Invalid Email: {0},E-mail inválido : {0}
Invalid Filter: {0},Filtro inválido: {0}
Invalid Shipping Address,Inválido envio Endereço
Last updated by,Última actualização por
Less or equals,Menor ou igual
Less than,menor que
Like,como
Linked With,Ligado com
List,Lista
Loading,Carregando
Loading Report,Relatório de carregamento
Logout,Sair
Make a new,Fazer um novo
Mandatory fields required in {0},Os campos obrigatórios exigidos no {0}
Mandatory filters required:\n,Filtros obrigatórios exigidos : \ n
Message,Mensagem
Missing Currency Exchange Rates for {0},Falta de câmbio de moeda para {0}
Missing Values Required,Faltando valores obrigatórios
Modified by,Modificado(a) por
More,Mais
